"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"15014/280.2634mz/22.78min",2.3178,1.874,1.7623,1.7281,1.6984,1.6805,1.6497,1.6309
"5766/130.1590mz/7.99min",2.3165,1.8567,1.8054,1.7825,1.7516,1.7221,1.6983,1.6884
"15401/654.9544mz/23.85min",2.3155,1.8606,1.7856,1.7554,1.7252,1.6963,1.6762,1.6555
"12356/249.0757mz/16.05min",2.3152,1.9265,1.8252,1.7995,1.7706,1.7463,1.7165,1.6998
"5696/130.1590mz/7.80min",2.3087,1.8502,1.7967,1.771,1.7418,1.7156,1.6845,1.6641
"10653/480.8009mz/13.70min",2.308,1.8568,1.7466,1.7127,1.6885,1.6617,1.635,1.6133
"10657/472.2878mz/13.71min",2.304,1.8576,1.7468,1.7143,1.6844,1.6587,1.629,1.6078
"10455/404.1550mz/13.56min",2.3024,1.8883,1.7929,1.7584,1.7428,1.7336,1.703,1.6807
"9262/512.2849mz/12.25min",2.3015,2.1247,2.0592,2.0215,1.9863,1.9639,2.004,1.9774
"14960/280.2633mz/22.57min",2.2993,1.8423,1.7321,1.7002,1.6832,1.6555,1.6251,1.6103
"10515/458.7882mz/13.58min",2.2955,1.8518,1.7423,1.7089,1.6892,1.6655,1.6416,1.6228
"8772/114.0913mz/11.84min",2.2927,1.8383,1.7324,1.6988,1.6724,1.6531,1.6267,1.6051
"15437/623.9265mz/23.90min",2.2912,1.838,1.7599,1.7262,1.6964,1.6676,1.6408,1.6216
"6405/389.2909mz/9.17min",2.2904,1.843,1.738,1.7279,1.7009,1.7232,1.6937,1.673
"6541/300.2166mz/9.34min",2.2843,1.8306,1.7284,1.6956,1.6666,1.6399,1.6159,1.5958
"14182/297.1330mz/19.92min",2.2838,1.8306,1.7283,1.7088,1.679,1.6595,1.6467,1.625
"8071/114.0913mz/10.99min",2.2815,1.829,1.7293,1.7004,1.6743,1.6498,1.6291,1.6221
"8834/121.0647mz/11.90min",2.2682,1.8571,1.7459,1.7127,1.6995,1.683,1.6523,1.6313
"15410/654.4528mz/23.87min",2.2601,1.8134,1.7323,1.6991,1.67,1.6417,1.6162,1.5956
"8007/474.2333mz/10.91min",2.2557,1.8108,1.7091,1.6988,1.6875,1.6609,1.6338,1.6121
"11057/434.2743mz/14.17min",2.254,2.0574,1.9759,1.9388,1.906,1.8834,1.8591,1.8347
"11656/401.1972mz/15.04min",2.2515,1.992,1.8731,1.8499,1.8249,1.9359,1.9007,1.8793
"6788/586.9614mz/9.68min",2.2501,1.8987,1.7858,1.7515,1.7241,1.7581,1.7258,1.7033
"13427/401.1586mz/17.69min",2.2483,1.8464,1.7394,1.7058,1.6883,1.6705,1.6525,1.6316
"5484/130.1591mz/6.81min",2.2434,1.7989,1.7465,1.7176,1.6992,1.6755,1.6465,1.6251
"6770/704.3517mz/9.66min",2.2412,1.9293,1.8176,1.7831,1.7535,1.7942,1.769,1.7454
"6302/271.1776mz/8.97min",2.2383,1.7947,1.7024,1.6695,1.6403,1.6125,1.5887,1.5705
"6131/262.0921mz/8.67min",2.238,1.8016,1.6981,1.7115,1.6825,1.6544,1.6281,1.6065
"7992/430.2432mz/10.92min",2.2354,1.7952,1.6917,1.6634,1.6343,1.6069,1.5804,1.5594
"15518/557.8871mz/24.09min",2.2334,1.7995,1.6994,1.6679,1.6427,1.6154,1.604,1.5864
"7310/460.2534mz/10.21min",2.23,1.7868,1.6957,1.679,1.6506,1.624,1.6071,1.5862
"15411/632.4398mz/23.89min",2.2296,1.7944,1.7066,1.676,1.6473,1.6199,1.5992,1.5788
"5162/130.1591mz/5.78min",2.2293,1.7864,1.7036,1.6909,1.6616,1.6337,1.6038,1.5826
"14984/280.2633mz/22.69min",2.2217,1.7917,1.6884,1.6675,1.6534,1.6264,1.5992,1.5802
"15390/676.9673mz/23.80min",2.2216,1.7809,1.7127,1.6801,1.6585,1.6319,1.6156,1.597
"12884/214.1800mz/16.86min",2.2216,1.7838,1.6831,1.6526,1.6474,1.6347,1.6073,1.5879
"7111/416.2277mz/10.03min",2.2191,1.7904,1.6965,1.6698,1.6406,1.616,1.5923,1.5711
"15507/566.9020mz/24.09min",2.2182,1.7804,1.6872,1.6545,1.6298,1.6021,1.5843,1.5687
"14547/577.3266mz/20.98min",2.217,1.8145,1.7587,1.7317,1.7035,1.7171,1.7146,1.6986
"8142/114.0913mz/11.10min",2.2165,1.8169,1.7083,1.6879,1.6638,1.6378,1.6175,1.5989
"8491/114.0915mz/11.50min",2.2125,1.8077,1.7002,1.678,1.6496,1.6216,1.5945,1.5734
"15357/659.4388mz/23.78min",2.2123,1.7736,1.692,1.6592,1.6319,1.6043,1.5798,1.5595
"6651/587.1299mz/9.55min",2.1997,1.8311,1.7223,1.6889,1.6595,1.7461,1.7238,1.7229
"8608/114.0916mz/11.64min",2.1994,1.7769,1.6706,1.6424,1.6154,1.5881,1.5602,1.5394
"8001/114.0913mz/10.91min",2.1991,1.7647,1.6591,1.6305,1.602,1.5756,1.5488,1.5286
"15538/505.3479mz/24.23min",2.1973,1.7987,1.6919,1.6609,1.6323,1.6084,1.5846,1.5673
"11106/462.2694mz/14.23min",2.196,1.9076,1.8752,1.8453,1.8192,1.8136,1.7996,1.7759
"15492/576.8648mz/24.08min",2.1955,1.7676,1.6624,1.6309,1.6054,1.5782,1.553,1.5357
"7906/114.0913mz/10.79min",2.1948,1.7594,1.6668,1.6364,1.6094,1.5835,1.5603,1.5396
"10517/450.2742mz/13.57min",2.1884,1.7811,1.6745,1.6421,1.6278,1.6325,1.6094,1.598
"15569/478.3480mz/24.33min",2.1826,1.7993,1.6939,1.6661,1.638,1.6163,1.6002,1.579
"7929/474.2330mz/10.87min",2.1773,1.7469,1.6451,1.6159,1.5924,1.6084,1.5809,1.5618
"2983/190.1074mz/1.99min",2.1736,1.7731,1.6997,1.6888,1.6815,1.6576,1.6313,1.6099
"15499/593.4000mz/24.00min",2.1735,1.7475,1.657,1.6251,1.5969,1.5699,1.5431,1.524
"15466/610.9283mz/23.96min",2.1731,1.7463,1.6607,1.6293,1.6018,1.5748,1.5529,1.5363
"8104/412.1967mz/11.08min",2.1715,2.2154,2.1582,2.1184,2.0823,2.0491,2.0149,1.9882
"15443/610.9284mz/23.94min",2.1706,1.7466,1.6614,1.631,1.6026,1.5759,1.5518,1.5315
"8690/114.0913mz/11.76min",2.1693,1.7461,1.6418,1.6108,1.5847,1.5625,1.5485,1.5279
"10345/445.2881mz/13.44min",2.1686,1.7427,1.6447,1.6128,1.5867,1.5599,1.5436,1.5231
"16169/280.2633mz/27.43min",2.1669,1.7904,1.7041,1.6734,1.6473,1.6308,1.6136,1.5942
"5119/216.0865mz/5.68min",2.1666,1.8784,1.7996,1.7703,1.7547,1.7436,1.724,1.7059
